,decimalLatitude,decimalLongitude
0,-23.0322,113.715
1,-21.9013,113.9015
2,3.46845,72.80718
3,-23.9736,35.5122
4,12.9333,123.533
5,-23.0322,113.715
6,-23.9736,35.5122
7,-23.9736,35.5122
8,-23.0322,113.715
9,28.88333,-113.48333
10,-7.76667,113.26667
11,-23.9736,35.5122
12,12.9333,123.533
13,12.9333,123.533
14,-21.9013,113.9015
15,-23.9736,35.5122
16,12.9333,123.533
17,12.9333,123.533
18,-21.9013,113.9015
19,16.1392,-86.9041
20,-21.91653,113.91917
21,-21.9013,113.9015
22,-21.9013,113.9015
23,-21.9013,113.9015
24,12.9333,123.533
25,-21.9013,113.9015
26,-23.9736,35.5122
27,-21.9013,113.9015
28,-21.9013,113.9015
29,12.9333,123.533
30,-21.9013,113.9015
31,12.9333,123.533
32,-21.9013,113.9015
33,-21.9013,113.9015
34,-23.9736,35.5122
35,-21.9013,113.9015
36,-21.9013,113.9015
37,12.9333,123.533
38,12.9333,123.533
39,-22.98528,113.71667
40,-21.9013,113.9015
41,-23.9736,35.5122
42,21.73333,-87.05
43,12.9333,123.533
44,-23.9736,35.5122
45,24.73213,-110.49686
46,-23.9736,35.5122
47,-23.0322,113.715
48,-21.9013,113.9015
49,-23.9736,35.5122
50,-21.9013,113.9015
51,26.93333,-90.53333
52,-21.9013,113.9015
53,12.9333,123.533
54,-21.9013,113.9015
55,-21.9013,113.9015
56,-21.9013,113.9015
57,-21.90065,113.91192
58,21.73333,-87.05
59,21.46667,-86.63333
60,12.9333,123.533
61,12.91667,123.55
62,-23.01428,35.91197
63,-22.79048,113.63952
64,-22.14227,113.8511
65,12.9333,123.533
66,-23.9736,35.5122
67,12.9333,123.533
68,-23.9736,35.5122
69,12.9333,123.533
70,-21.9013,113.9015
71,-21.9013,113.9015
72,-23.91667,35.53333
73,-23.9736,35.5122
74,-21.9013,113.9015
75,-21.9013,113.9015
76,-21.87783,113.96416
77,12.9333,123.533
78,12.93222,123.53778
79,12.9333,123.533
80,-21.9013,113.9015
81,12.9333,123.533
82,16.09108,-86.84148
83,12.9333,123.533
84,-21.9013,113.9015
85,9.93333,99.98333
86,-21.9013,113.9015
87,-21.9013,113.9015
88,16.1392,-86.9041
89,12.9333,123.533
90,-21.9013,113.9015
91,-21.9013,113.9015
92,-21.98333,113.9
93,3.47228,72.79722
94,11.56667,42.76667
95,16.1392,-86.9041
96,-26.78087,32.90273
97,12.9333,123.533
98,12.9333,123.533
99,-23.9736,35.5122
100,-23.9736,35.5122
101,16.06952,-87.00471
102,28.08333,-90.9
103,12.9333,123.533
104,16.13215,-86.86355
105,-21.9013,113.9015
106,-23.9736,35.5122
107,21.55,-86.63333
108,-21.9013,113.9015
109,12.9333,123.533
110,11.57652,42.8215
111,12.9333,123.533
112,-21.9013,113.9015
113,16.1392,-86.9041
114,12.9333,123.533
115,12.93167,123.53833
116,21.55,-86.63333
117,-21.9013,113.9015
118,-23.9736,35.5122
119,21.76667,-87.13333
120,-23.9736,35.5122
121,-21.9013,113.9015
122,12.91667,123.51667
123,12.9333,123.533
124,-23.9736,35.5122
125,12.9,123.58334
126,-23.86794,35.39028
127,29.76667,-87.03333
128,12.9333,123.533
129,11.57853,42.79077
130,-23.9736,35.5122
131,-21.9013,113.9015
132,16.1392,-86.9041
133,-23.0322,113.715
134,12.9333,123.533
