catalogNumber,decimalLatitude,decimalLongitude,eventDate,month,date_year,bathymetry,sst,sss,shoredistance,behavior,sex,id,presence
236201000000.0,-23.0322,113.715,2008-05-18 12:00:00+00:00,5.0,2008.0,55.0,24.9,34.86,10835,,,e8a96329-cc06-4f16-a546-9a41c8eabdaf,1
175201000000.0,-21.9013,113.9015,2009-04-13 12:00:00+00:00,4.0,2009.0,82.0,25.74,34.82,7200,,,35af271b-d876-4de5-9744-eb3cd639acea,1
1962010000000.0,3.46845,72.80718,2007-05-24 12:00:00+00:00,5.0,2007.0,165.0,29.03,34.95,1425,,,d4e014f1-5dcf-493c-bbd9-cfa48291f63f,1
1772010000000.0,-23.9736,35.5122,2009-02-25 12:00:00+00:00,2.0,2009.0,2.0,25.61,34.86,585,,male,05c794e3-6547-4307-b201-bb71c1151c79,1
214201000000.0,12.9333,123.533,2007-04-19 12:00:00+00:00,4.0,2007.0,33.0,28.24,32.56,339,,female,055e9228-d4ca-4e3f-9cbd-61913fcbf272,1
16200555238.0,-23.0322,113.715,2005-05-20 12:00:00+00:00,5.0,2005.0,55.0,24.9,34.86,10835,,,87706327-48f8-4424-8380-06738cc73247,1
2872010000000.0,-23.9736,35.5122,2007-02-08 12:00:00+00:00,2.0,2007.0,2.0,25.61,34.86,585,,male,ccc21007-e14b-420c-9b46-00db6e90dbd7,1
267201000000.0,-23.9736,35.5122,2006-11-02 12:00:00+00:00,11.0,2006.0,2.0,25.61,34.86,585,,male,1425a498-ee5b-42b2-8a51-c1b5c13f82db,1
28200662118.0,-23.0322,113.715,2006-05-10 12:00:00+00:00,5.0,2006.0,55.0,24.9,34.86,10835,,,d7c95824-8b19-4f84-929c-0504982f1062,1
117201000000.0,28.88333,-113.48333,2008-09-02 12:00:00+00:00,9.0,2008.0,-15.0,,,-1022,,male,3148cf39-28c5-44dc-9c23-4709cb757e93,1
1722010000000.0,-7.76667,113.26667,2010-02-09 12:00:00+00:00,2.0,2010.0,12.0,29.01,32.28,52,,female,daa6fa7d-e3aa-44df-b406-87a1ede04654,1
37200803335.0,-23.9736,35.5122,2007-10-22 12:00:00+00:00,10.0,2007.0,2.0,25.61,34.86,585,,,049e8c26-f118-4dfa-8611-d17c4e3d9615,1
2322010000000.0,12.9333,123.533,2010-02-23 12:00:00+00:00,2.0,2010.0,33.0,28.24,32.56,339,,,6c0e3157-cce0-4b39-a766-7d4e9c5d672c,1
28520063325.0,12.9333,123.533,2006-04-10 12:00:00+00:00,4.0,2006.0,33.0,28.24,32.56,339,,,e3790237-d8d9-4b6c-9d49-658291b98313,1
412201000000.0,-21.9013,113.9015,2003-06-20 12:00:00+00:00,6.0,2003.0,82.0,25.74,34.82,7200,,,c36b03e4-9480-458b-9dfd-06d04b291968,1
612008000000.0,-23.9736,35.5122,2007-12-01 12:00:00+00:00,12.0,2007.0,2.0,25.61,34.86,585,,,8b6646d8-6273-4f7a-a0c8-ca69c8238690,1
19420088836.0,12.9333,123.533,2008-04-19 12:00:00+00:00,4.0,2008.0,33.0,28.24,32.56,339,,,0584da0a-d128-43a5-b80b-d992aa813b6f,1
213201000000.0,12.9333,123.533,2009-03-21 12:00:00+00:00,3.0,2009.0,33.0,28.24,32.56,339,,male,1ede4607-9273-45eb-9cbf-a2304c39783c,1
206201000000.0,-21.9013,113.9015,2006-06-08 12:00:00+00:00,6.0,2006.0,82.0,25.74,34.82,7200,,,8cd28868-a85a-4ff0-a2d5-b06a854dcd8b,1
1542010000000.0,16.1392,-86.9041,2005-10-16 12:00:00+00:00,10.0,2005.0,124.0,28.2,35.84,1931,,,21866803-ca7b-4d66-b9ff-de9c79bace7a,1
2052010000000.0,-21.91653,113.91917,2008-05-20 12:00:00+00:00,5.0,2008.0,59.0,25.6,34.82,4713,,,fddf7be7-2f3c-4bab-8daa-0d1687c9fa7a,1
